file,score,decision,reason
I:\Record_chunks\New recording 36_sent0162.wav,0.833028,TARGET,
I:\Record_chunks\New recording 460_sent0044.wav,0.83221,TARGET,
I:\Record_chunks\Dysphagia suspected esophageal cancer._sent0159.wav,0.831623,TARGET,
"I:\Record_chunks\Breaking bad news, second stroke, palliative_sent0035.wav",0.830042,TARGET,
I:\Record_chunks\Abnormal liver function tests Gilbert syndrome._sent0028.wav,0.829777,TARGET,
I:\Record_chunks\New recording 496_sent0156.wav,0.829625,TARGET,
I:\Record_chunks\New recording 487_sent0003.wav,0.827836,TARGET,
I:\Record_chunks\New recording 134_sent0189.wav,0.827808,TARGET,
I:\Record_chunks\New recording 485_sent0113.wav,0.82777,TARGET,
I:\Record_chunks\New recording 289_sent0048.wav,0.827738,TARGET,
I:\Record_chunks\New recording 424_sent0029.wav,0.827459,TARGET,
I:\Record_chunks\New recording 111_sent0000.wav,0.827455,TARGET,
I:\Record_chunks\alcohol colleague FY2_sent0001.wav,0.827455,TARGET,
I:\Record_chunks\New recording 153_sent0069.wav,0.827186,TARGET,
I:\Record_chunks\New recording 351_sent0073.wav,0.827183,TARGET,
I:\Record_chunks\New recording 439_sent0137.wav,0.827153,TARGET,
I:\Record_chunks\New recording 157_sent0091.wav,0.827067,TARGET,
I:\Record_chunks\Minor emergency contraception._sent0137.wav,0.827033,TARGET,
I:\Record_chunks\citalopram induced hyponatremia_sent0180.wav,0.826572,TARGET,
I:\Record_chunks\New recording 426_sent0019.wav,0.826525,TARGET,
I:\Record_chunks\New recording 472_sent0045.wav,0.826465,TARGET,
I:\Record_chunks\medical error hairline fracture_sent0073.wav,0.826351,TARGET,
I:\Record_chunks\New recording 325_sent0003.wav,0.826252,TARGET,
I:\Record_chunks\New recording 142_sent0150.wav,0.82588,TARGET,
I:\Record_chunks\New recording 426_sent0146.wav,0.825818,TARGET,
I:\Record_chunks\Breaking Bad News Intracerbral Bleed Telephone_sent0001.wav,0.825628,TARGET,
I:\Record_chunks\New recording 166_sent0161.wav,0.825272,TARGET,
I:\Record_chunks\Dysphagia suspected esophageal cancer._sent0076.wav,0.825266,TARGET,
I:\Record_chunks\New recording 42_sent0129.wav,0.824988,TARGET,
I:\Record_chunks\Atypical or tuberculosis_sent0194.wav,0.824952,TARGET,
I:\Record_chunks\missing blood sample_sent0002.wav,0.824876,TARGET,
I:\Record_chunks\New recording 489_sent0132.wav,0.824383,TARGET,
I:\Record_chunks\New recording 434_sent0088.wav,0.824133,TARGET,
I:\Record_chunks\New recording 36_sent0167.wav,0.823971,TARGET,
I:\Record_chunks\New recording 475_sent0097.wav,0.823599,TARGET,
I:\Record_chunks\New recording 449_sent0065.wav,0.823516,TARGET,
I:\Record_chunks\New recording 33_sent0034.wav,0.823137,TARGET,
I:\Record_chunks\New recording 152_sent0000.wav,0.823082,TARGET,
I:\Record_chunks\New recording 434_sent0039.wav,0.823039,TARGET,
I:\Record_chunks\New recording 263_sent0002.wav,0.823032,TARGET,
I:\Record_chunks\demanding tonsillectomy_sent0025.wav,0.822526,TARGET,
I:\Record_chunks\New recording 35_sent0000.wav,0.821713,TARGET,
I:\Record_chunks\New recording 298_sent0178.wav,0.821518,TARGET,
I:\Record_chunks\New recording 111_sent0034.wav,0.821387,TARGET,
I:\Record_chunks\captopril pregnancy _sent0000.wav,0.821056,TARGET,
I:\Record_chunks\New recording 13_sent0039.wav,0.820886,TARGET,
I:\Record_chunks\New recording 151_sent0104.wav,0.820588,TARGET,
I:\Record_chunks\New recording 140_sent0159.wav,0.820539,TARGET,
I:\Record_chunks\Genital herpes_sent0122.wav,0.820113,TARGET,
I:\Record_chunks\New recording 357_sent0162.wav,0.820065,TARGET,
I:\Record_chunks\New recording 324_sent0137.wav,0.819993,TARGET,
I:\Record_chunks\New recording 239_sent0040.wav,0.819745,TARGET,
I:\Record_chunks\New recording 106_sent0003.wav,0.819627,TARGET,
I:\Record_chunks\acute bacterial tonsillitis_sent0000.wav,0.819563,TARGET,
I:\Record_chunks\Antibiotic request traveling to Thailand_sent0047.wav,0.819537,TARGET,
I:\Record_chunks\New recording 33_sent0064.wav,0.819098,TARGET,
I:\Record_chunks\New recording 468_sent0121.wav,0.818918,TARGET,
I:\Record_chunks\New recording 436_sent0128.wav,0.818795,TARGET,
I:\Record_chunks\New recording 102_sent0001.wav,0.818631,TARGET,
I:\Record_chunks\New recording 441_sent0161.wav,0.818578,TARGET,
I:\Record_chunks\New recording 460_sent0114.wav,0.818563,TARGET,
I:\Record_chunks\New recording 44_sent0158.wav,0.818442,TARGET,
I:\Record_chunks\Child Holidays Sick Note Demand_sent0000.wav,0.818334,TARGET,
I:\Record_chunks\New recording 169_sent0000.wav,0.818068,TARGET,
I:\Record_chunks\New recording 477_sent0114.wav,0.818045,TARGET,
I:\Record_chunks\New recording 12_sent0100.wav,0.817891,TARGET,
I:\Record_chunks\New recording 449_sent0100.wav,0.817562,TARGET,
I:\Record_chunks\New recording 113_sent0115.wav,0.817364,TARGET,
I:\Record_chunks\Dysphagia suspected esophageal cancer._sent0160.wav,0.81735,TARGET,
I:\Record_chunks\New recording 104_sent0000.wav,0.81734,TARGET,
I:\Record_chunks\New recording 410_sent0000.wav,0.817153,TARGET,
I:\Record_chunks\New recording 134_sent0067.wav,0.817086,TARGET,
I:\Record_chunks\New recording 450_sent0157.wav,0.816397,TARGET,
I:\Record_chunks\lesbian discrimination_sent0001.wav,0.815957,TARGET,
I:\Record_chunks\New recording 166_sent0154.wav,0.815885,TARGET,
I:\Record_chunks\New recording 333_sent0121.wav,0.815581,TARGET,
I:\Record_chunks\New recording 450_sent0072.wav,0.815458,TARGET,
I:\Record_chunks\New recording 38_sent0053.wav,0.815248,TARGET,
I:\Record_chunks\New recording 33_sent0098.wav,0.814044,TARGET,
I:\Record_chunks\New recording 45_sent0219.wav,0.81394,TARGET,
I:\Record_chunks\Addressing Patient Concerns About Post-Surgery Infection_sent0000.wav,0.813856,TARGET,
I:\Record_chunks\New recording 305_sent0138.wav,0.813666,TARGET,
I:\Record_chunks\Minor emergency contraception._sent0104.wav,0.813637,TARGET,
I:\Record_chunks\New recording 453_sent0123.wav,0.813594,TARGET,
I:\Record_chunks\New recording 411_sent0046.wav,0.813587,TARGET,
I:\Record_chunks\New recording 295_sent0000.wav,0.813033,TARGET,
I:\Record_chunks\New recording 316_sent0000.wav,0.812892,TARGET,
I:\Record_chunks\New recording 471_sent0037.wav,0.812888,TARGET,
I:\Record_chunks\New recording 134_sent0106.wav,0.812645,TARGET,
I:\Record_chunks\ankylosing spondylitis_sent0127.wav,0.812262,TARGET,
I:\Record_chunks\New recording 47_sent0001.wav,0.812117,TARGET,
I:\Record_chunks\New recording 428_sent0109.wav,0.812038,TARGET,
I:\Record_chunks\New recording 488_sent0097.wav,0.811633,TARGET,
I:\Record_chunks\Atypical or tuberculosis_sent0043.wav,0.810883,TARGET,
I:\Record_chunks\New recording 415_sent0069.wav,0.810725,TARGET,
I:\Record_chunks\New recording 29_sent0063.wav,0.810688,TARGET,
I:\Record_chunks\New recording 365_sent0042.wav,0.810556,TARGET,
I:\Record_chunks\New recording 3_sent0087.wav,0.81054,TARGET,
I:\Record_chunks\New recording 467_Trim1_sent0136.wav,0.810503,TARGET,
I:\Record_chunks\New recording 33_sent0051.wav,0.809325,TARGET,
I:\Record_chunks\New recording 12_sent0043.wav,0.809193,TARGET,
I:\Record_chunks\New recording 424_sent0138.wav,0.809134,TARGET,
I:\Record_chunks\New recording 445_sent0120.wav,0.809057,TARGET,
I:\Record_chunks\New recording 394_sent0091.wav,0.808967,TARGET,
I:\Record_chunks\New recording 406_sent0148.wav,0.808678,TARGET,
I:\Record_chunks\New recording 29_sent0035.wav,0.808644,TARGET,
I:\Record_chunks\New recording 34_sent0027.wav,0.808296,TARGET,
I:\Record_chunks\New recording 445_sent0105.wav,0.808059,TARGET,
I:\Record_chunks\New recording 33_sent0133.wav,0.807964,TARGET,
I:\Record_chunks\Chicken pox._sent0000.wav,0.807884,TARGET,
I:\Record_chunks\New recording 143_sent0002.wav,0.807461,TARGET,
I:\Record_chunks\Acute gastroenteritis._sent0122.wav,0.807386,TARGET,
I:\Record_chunks\New recording 384_sent0150.wav,0.807163,TARGET,
I:\Record_chunks\New recording 48_sent0085.wav,0.807109,TARGET,
I:\Record_chunks\New recording 489_sent0150.wav,0.807099,TARGET,
I:\Record_chunks\Genital herpes_sent0143.wav,0.80693,TARGET,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0062.wav,0.806861,TARGET,
