file,score,decision,reason
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0043.wav,0.566116,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0044.wav,,OTHER,too_short(0.82s)
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0045.wav,0.641123,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0046.wav,0.221596,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0047.wav,0.109452,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0048.wav,0.461000,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0049.wav,0.506150,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0050.wav,,OTHER,too_short(1.18s)
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0051.wav,0.459146,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0052.wav,0.348685,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0053.wav,0.502750,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0054.wav,0.628344,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0055.wav,,OTHER,too_short(0.70s)
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0056.wav,0.589256,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0057.wav,0.091457,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0058.wav,0.513193,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0059.wav,,OTHER,too_short(0.68s)
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0060.wav,,OTHER,too_short(0.56s)
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0061.wav,,OTHER,too_short(0.99s)
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0062.wav,0.605718,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0063.wav,0.148741,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0064.wav,,OTHER,too_short(1.30s)
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0065.wav,0.442002,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0066.wav,,OTHER,too_short(0.52s)
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0067.wav,0.569522,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0068.wav,0.602207,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0069.wav,,OTHER,too_short(1.98s)
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0070.wav,0.523359,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0071.wav,0.446094,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0072.wav,0.031145,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0073.wav,0.533826,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0074.wav,0.055883,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0075.wav,0.516360,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0076.wav,0.613259,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0077.wav,0.609575,OTHER,
